sample,host_read_count,all_read_count,percentage_host_DNA,organism
E5,175600,11487470,1.53,Westernized human / Urban
F4,183259,9696234,1.89,Westernized human / Urban
E2,214203,8327324,2.57,Westernized human / Urban
E1,227278,10907632,2.08,Westernized human / Urban
B10,375059,11695702,3.21,Westernized human / Urban
C3,51792,10324844,0.5,Westernized human / Urban
B7,423399,11698532,3.62,Westernized human / Urban
A1,153528,10803284,1.42,Westernized human / Urban
E12,180817,12377546,1.46,Westernized human / Urban
D3,254238,11408122,2.23,Westernized human / Urban
C2,43231,9075014,0.48,Westernized human / Urban
D7,225207,11510432,1.96,Westernized human / Urban
D1,269617,12033292,2.24,Westernized human / Urban
B2,112611,13075492,0.86,Westernized human / Urban
A2,120257,10901438,1.1,Westernized human / Urban
A6,160317,12356964,1.3,Westernized human / Urban
A8,273006,10723706,2.55,Westernized human / Urban
C10,215235,13017016,1.65,Westernized human / Urban
C9,136464,10845174,1.26,Westernized human / Urban
B8,340796,10653408,3.2,Westernized human / Urban
B4,166426,10508250,1.58,Westernized human / Urban
A3,145562,12421768,1.17,Westernized human / Urban
D12,237623,9704844,2.45,Westernized human / Urban
C11,284235,11279754,2.52,Westernized human / Urban
E11,192428,11743308,1.64,Westernized human / Urban
A5,215066,11882440,1.81,Westernized human / Urban
B1,63371,15456544,0.41,Westernized human / Urban
A11,199370,9271072,2.15,Westernized human / Urban
C1,184712,11074722,1.67,Westernized human / Urban
C12,238833,10917346,2.19,Westernized human / Urban
D6,386640,11700012,3.3,Westernized human / Urban
F1,262879,10183936,2.58,Westernized human / Urban
B11,298888,10967064,2.73,Westernized human / Urban
B5,126996,12667796,1.0,Westernized human / Urban
D11,155294,8180156,1.9,Westernized human / Urban
B3,133929,11241482,1.19,Westernized human / Urban
D5,243972,11283954,2.16,Westernized human / Urban
A9,186274,8874688,2.1,Westernized human / Urban
C4,42364,9825904,0.43,Westernized human / Urban
D2,177084,11314076,1.57,Westernized human / Urban
D9,143234,10521106,1.36,Westernized human / Urban
E3,150478,10696592,1.41,Westernized human / Urban
E9,197977,9446418,2.1,Westernized human / Urban
C7,180169,15386204,1.17,Westernized human / Urban
F3,150425,11413220,1.32,Westernized human / Urban
A4,110957,10818038,1.03,Westernized human / Urban
E6,440959,11818510,3.73,Westernized human / Urban
D8,196516,10573060,1.86,Westernized human / Urban
C6,137728,14126344,0.97,Westernized human / Urban
bftm2301ext33.sam,55095,18796990,0.29,Non westernized human / Rural
bftm070332.sam,49029,26437410,0.19,Non westernized human / Rural
bftm030236.sam,77452,27571762,0.28,Non westernized human / Rural
bftm2401ext31.sam,7908,28078268,0.03,Non westernized human / Rural
bftm280135.sam,4046109,31803446,12.72,Non westernized human / Rural
bftm130122.sam,12870,41265242,0.03,Non westernized human / Rural
bftm0401ecol39.sam,34853,42149188,0.08,Non westernized human / Rural
bftm230440.sam,2028606,42879336,4.73,Non westernized human / Rural
bftm1502ecol15.sam,39315,51388140,0.08,Non westernized human / Rural
bftm040212.sam,11484,40581568,0.03,Non westernized human / Rural
bftm2103ext32.sam,48689,46270246,0.11,Non westernized human / Rural
bftm140428.sam,40617,55616436,0.07,Non westernized human / Rural
bftm180134.sam,21821,25888008,0.08,Non westernized human / Rural
bftm110237.sam,19889,43720724,0.05,Non westernized human / Rural
bftm1003ext22.sam,12289,47524028,0.03,Non westernized human / Rural
bftm0803ext30.sam,8469,18437208,0.05,Non westernized human / Rural
bftm100113.sam,1309446,100223950,1.31,Non westernized human / Rural
bftm190220.sam,31017,69358310,0.04,Non westernized human / Rural
bftm270223.sam,40999,46300184,0.09,Non westernized human / Rural
bftm220210.sam,26878,85778526,0.03,Non westernized human / Rural
bftm0202ext20.sam,13721,49753554,0.03,Non westernized human / Rural
bftm0601ext18.sam,7489,26092968,0.03,Non westernized human / Rural
bftm140127.sam,293440,104080352,0.28,Non westernized human / Rural
bftm2801ext35.sam,1708342,16746372,10.2,Non westernized human / Rural
bftm1002ecol4.sam,30725,52397704,0.06,Non westernized human / Rural
bftm1303ext17.sam,6928,28080332,0.02,Non westernized human / Rural
bftm140341.sam,157727,83257562,0.19,Non westernized human / Rural
bftm2204ext27.sam,367707,56935542,0.65,Non westernized human / Rural
bftm30016.sam,106606,74694944,0.14,Non westernized human / Rural
bftm050238.sam,114780,32861610,0.35,Non westernized human / Rural
bftm1104ecol11.sam,7688,52221098,0.01,Non westernized human / Rural
bftm060125.sam,20622,54179132,0.04,Non westernized human / Rural
bftm0701ecol12.sam,17077,39086588,0.04,Non westernized human / Rural
bftm2101ext26.sam,2557108,54682456,4.68,Non westernized human / Rural
bftm2601ext24.sam,143719,58945896,0.24,Non westernized human / Rural
bftm3003ext25.sam,228585,28016386,0.82,Non westernized human / Rural
bftm09037.sam,15466,43494168,0.04,Non westernized human / Rural
bftm0604ecol14.sam,26157,43001534,0.06,Non westernized human / Rural
bftm110126.sam,16884,37752822,0.04,Non westernized human / Rural
bftm030111.sam,72776,58457354,0.12,Non westernized human / Rural
bftm290124.sam,12148,67245490,0.02,Non westernized human / Rural
bftm1704ext28.sam,19128,48362604,0.04,Non westernized human / Rural
bftm150339.sam,52807,56123024,0.09,Non westernized human / Rural
bftm2704ext23.sam,194657,43787378,0.44,Non westernized human / Rural
bftm1601ecol9.sam,106670,73952044,0.14,Non westernized human / Rural
bftm1104ext21.sam,14441,46757422,0.03,Non westernized human / Rural
bftm3004ext36.sam,83706,30880108,0.27,Non westernized human / Rural
bftm26043.sam,241501,40648682,0.59,Non westernized human / Rural
bftm2304ext34.sam,409429,10953162,3.74,Non westernized human / Rural
bftm2301ecol5.sam,260661,74217736,0.35,Non westernized human / Rural
bftm1603ecol2.sam,80129,54867598,0.15,Non westernized human / Rural
bftm120433.sam,62164,19740812,0.31,Non westernized human / Rural
bftm080321.sam,19267,48315608,0.04,Non westernized human / Rural
bftm2504ecol13.sam,1344123,52388322,2.57,Non westernized human / Rural
bftm0101ecol.sam,11690,62461836,0.02,Non westernized human / Rural
bftm220116.sam,160165,70274880,0.23,Non westernized human / Rural
bftm1402ext19.sam,27382,41748458,0.07,Non westernized human / Rural
bftm17021.sam,149345,30179114,0.49,Non westernized human / Rural
bftm1701ecol6.sam,11063,86439714,0.01,Non westernized human / Rural
bftm150117.sam,35070,77016038,0.05,Non westernized human / Rural
bftm22034.sam,165046,60784258,0.27,Non westernized human / Rural
bftm0902ecol40.sam,155633,30088172,0.52,Non westernized human / Rural
bftm01028.sam,10943,44433538,0.02,Non westernized human / Rural
bftm2501ecol7.sam,37260,53232538,0.07,Non westernized human / Rural
bftm200318.sam,88945,56072148,0.16,Non westernized human / Rural
bftm080215.sam,16237,76984636,0.02,Non westernized human / Rural
bftm200129.sam,212498,73008450,0.29,Non westernized human / Rural
bftm010319.sam,28985,63373402,0.05,Non westernized human / Rural
bftm2002ext29.sam,4930107,53649054,9.19,Non westernized human / Rural
ERR1914445,608,5149226,0.01,Dog
ERR1915141,199,3533432,0.01,Dog
ERR1916240,2398,2959452,0.08,Dog
ERR1915117,1224,4438944,0.03,Dog
ERR1913401,2085,3861284,0.05,Dog
ERR1915610,3612,3616066,0.1,Dog
ERR1915410,2647,3802428,0.07,Dog
ERR1916166,893,4657978,0.02,Dog
ERR1914224,3162,7968330,0.04,Dog
ERR1913830,4042,4956394,0.08,Dog
ERR1915971,3066,4209920,0.07,Dog
ERR1916218,865,4191090,0.02,Dog
ERR1916299,1363,3491562,0.04,Dog
ERR1915335,1355,4116570,0.03,Dog
ERR2402762,18498,4063404,0.46,Dog
ERR1914696,15239,4051532,0.38,Dog
ERR1914207,7208,4447510,0.16,Dog
ERR1914085,3503,4028044,0.09,Dog
ERR1913614,799,4337814,0.02,Dog
ERR1913472,37622,4346212,0.87,Dog
ERR1915751,454,3857096,0.01,Dog
ERR1916229,2312,2731206,0.08,Dog
ERR1915582,253,4691122,0.01,Dog
ERR1914944,16628,3581252,0.46,Dog
ERR2402765,18942,4198878,0.45,Dog
ERR1916302,1495,3500200,0.04,Dog
ERR1915103,1230,4197006,0.03,Dog
ERR1913556,1161,4701010,0.02,Dog
ERR1914307,1630,4460470,0.04,Dog
ERR1915539,3850,5618600,0.07,Dog
ERR1915309,1978,4852570,0.04,Dog
ERR1915204,479,3744596,0.01,Dog
ERR1914185,6159,3697256,0.17,Dog
ERR1915816,5834,3822118,0.15,Dog
ERR1913391,10689,4830492,0.22,Dog
ERR1914332,652,3360198,0.02,Dog
ERR1915022,263,3385498,0.01,Dog
ERR1914439,540,4704484,0.01,Dog
ERR1914302,1499,3674014,0.04,Dog
ERR1914320,1873,4628300,0.04,Dog
ERR1913524,1089,2602736,0.04,Dog
ERR1915317,1060,3177654,0.03,Dog
ERR1913948,34470,5574974,0.62,Dog
ERR1914316,1907,4707448,0.04,Dog
ERR2402795,11041,7701058,0.14,Dog
ERR1916189,403,4469802,0.01,Dog
ERR1913963,37461,6034196,0.62,Dog
ERR1915826,5715,3708276,0.15,Dog
ERR1914111,2646,5868374,0.05,Dog
ERR1916042,1166,4125478,0.03,Dog
ERR1915011,165,2450928,0.01,Dog
ERR1915380,1104,5994652,0.02,Dog
ERR1913847,4226,5259340,0.08,Dog
ERR1915423,2539,3681956,0.07,Dog
ERR1913542,1089,4522812,0.02,Dog
ERR1913392,2317,3933230,0.06,Dog
ERR1915782,716,3017150,0.02,Dog
ERR1915499,1215,3880756,0.03,Dog
ERR1915611,3642,3714362,0.1,Dog
ERR1915376,1025,5993272,0.02,Dog
ERR1914041,3372,3524712,0.1,Dog
ERR1914553,357,3517282,0.01,Dog
ERR1914438,453,3627364,0.01,Dog
ERR1916315,1563,3665318,0.04,Dog
ERR1913675,1456,4214100,0.03,Dog
ERR1915420,2338,3481940,0.07,Dog
ERR1915225,3930,3020966,0.13,Dog
ERR1914208,3053,7614094,0.04,Dog
ERR1914674,1710,3840494,0.04,Dog
ERR1913829,3673,4821074,0.08,Dog
ERR1915012,153,2369958,0.01,Dog
ERR1913953,35031,5498102,0.64,Dog
ERR2402780,10542,7265952,0.15,Dog
ERR1914424,632,4867382,0.01,Dog
ERR1915578,259,4529930,0.01,Dog
ERR1916319,1637,3652672,0.04,Dog
ERR1915100,1240,4141642,0.03,Dog
ERR2402772,18280,4026780,0.45,Dog
ERR2402760,18150,4039828,0.45,Dog
ERR1914932,15164,3287538,0.46,Dog
ERR1913663,1303,4040726,0.03,Dog
ERR1914441,668,4917562,0.01,Dog
ERR1914215,2848,7596536,0.04,Dog
ERR1915229,3875,3003368,0.13,Dog
ERR1915197,445,3757648,0.01,Dog
ERR1915363,1068,5700780,0.02,Dog
ERR1916170,930,4896070,0.02,Dog
ERR1916139,1827,4661524,0.04,Dog
ERR1913608,873,4331384,0.02,Dog
ERR1915231,4195,3172694,0.13,Dog
ERR1913387,10563,4771292,0.22,Dog
ERR1913805,4669,5005990,0.09,Dog
ERR1916312,1574,3666764,0.04,Dog
ERR1915253,888,2681768,0.03,Dog
ERR1914107,2628,5828016,0.05,Dog
ERR1916180,374,4176872,0.01,Dog
ERR1914213,2976,7529110,0.04,Dog
ERR1913944,35628,5713266,0.62,Dog
ERR1914430,561,4651614,0.01,Dog
ERR1913400,2197,3848794,0.06,Dog
ERR1914987,17358,6702566,0.26,Dog
ERR1914088,2503,5480602,0.05,Dog
ERR1915765,577,3999508,0.01,Dog
ERR1914605,3411,5270774,0.06,Dog
ERR1913527,1392,3144084,0.04,Dog
ERR1915320,1193,3635468,0.03,Dog
ERR1915102,1360,4220982,0.03,Dog
ERR1915186,325,5789872,0.01,Dog
ERR1913947,34769,5680650,0.61,Dog
ERR1915745,528,3839130,0.01,Dog
ERR1915563,3920,4000478,0.1,Dog
ERR1914040,3115,3600712,0.09,Dog
ERR1913950,35171,5718084,0.62,Dog
ERR1916193,383,4427438,0.01,Dog
ERR1915453,342,3901528,0.01,Dog
ERR1914997,17044,6507116,0.26,Dog
ERR1914292,1345,3294266,0.04,Dog
ERR1915122,216,3518714,0.01,Dog
ERR1916182,435,4189138,0.01,Dog
ERR1915558,3896,3891880,0.1,Dog
ERR1914985,17576,6617046,0.27,Dog
ERR1914349,702,3639940,0.02,Dog
ERR1916187,471,4527058,0.01,Dog
ERR1914611,3202,5193784,0.06,Dog
ERR1915438,372,3720340,0.01,Dog
ERR1913555,1133,4746178,0.02,Dog
ERR1913372,10214,4489848,0.23,Dog
ERR1915094,851,5057952,0.02,Dog
ERR1915048,7115,4014060,0.18,Dog
ERR1915455,402,3885130,0.01,Dog
ERR1915529,3721,5474540,0.07,Dog
ERR1913389,10596,4813572,0.22,Dog
ERR1915571,4138,4134088,0.1,Dog
ERR1914196,4277,2525784,0.17,Dog
ERR1915757,513,3786956,0.01,Dog
ERR1914667,1541,3685008,0.04,Dog
ERR1914082,3314,3859180,0.09,Dog
ERR1915293,1756,4254094,0.04,Dog
ERR1915064,7349,4220568,0.17,Dog
ERR1916078,1252,5512918,0.02,Dog
ERR1914750,1693,4200270,0.04,Dog
ERR1913815,5349,5771454,0.09,Dog
ERR1913971,10729,5552042,0.19,Dog
ERR1915838,5895,4016142,0.15,Dog
ERR1915382,988,5989274,0.02,Dog
ERR1913780,4205,6474574,0.06,Dog
ERR1915590,261,4385590,0.01,Dog
ERR1915612,3884,3611340,0.11,Dog
ERR1915140,218,3329108,0.01,Dog
ERR1915367,1013,5707360,0.02,Dog
